MTPR from pot.mtp, Database: train.cfg
BFGS iterations count set to 1000
BFGS convergence tolerance set to 1e-08
Energy weight: 1
Force weight: 0.01
Stress weight: 0.001
MTPR parallel training started
BFGS iter 0: f=0.00193348
BFGS iter 1: f=0.00193341
BFGS iter 2: f=0.00193313
BFGS iter 3: f=0.00193296
BFGS iter 4: f=0.00193266
BFGS iter 5: f=0.00193196
BFGS iter 6: f=0.00193109
BFGS iter 7: f=0.00192958
BFGS iter 8: f=0.00192871
BFGS iter 9: f=0.00192541
BFGS iter 10: f=0.0019235
BFGS iter 11: f=0.00192264
BFGS iter 12: f=0.00192095
BFGS iter 13: f=0.00191921
BFGS iter 14: f=0.00191845
BFGS iter 15: f=0.00191526
BFGS iter 16: f=0.00191198
BFGS iter 17: f=0.00190923
BFGS iter 18: f=0.0019062
BFGS iter 19: f=0.00190334
BFGS iter 20: f=0.00189688
BFGS iter 21: f=0.00189334
BFGS iter 22: f=0.00188847
BFGS iter 23: f=0.00188483
BFGS iter 24: f=0.00188201
BFGS iter 25: f=0.00187672
BFGS iter 26: f=0.00187186
BFGS iter 27: f=0.0018691
BFGS iter 28: f=0.00186464
BFGS iter 29: f=0.00186145
BFGS iter 30: f=0.00185664
BFGS iter 31: f=0.00185355
BFGS iter 32: f=0.00184897
BFGS iter 33: f=0.00183934
BFGS iter 34: f=0.00183598
BFGS iter 35: f=0.00183242
BFGS iter 36: f=0.00182977
BFGS iter 37: f=0.00182603
BFGS iter 38: f=0.00182195
BFGS iter 39: f=0.00181813
BFGS iter 40: f=0.00181636
BFGS iter 41: f=0.00181421
BFGS iter 42: f=0.00180898
BFGS iter 43: f=0.00180743
BFGS iter 44: f=0.00180512
BFGS iter 45: f=0.0018019
BFGS iter 46: f=0.00179925
BFGS iter 47: f=0.00179602
BFGS iter 48: f=0.00179284
BFGS iter 49: f=0.00179111
*
BFGS iter 50: f=0.0017916
BFGS iter 51: f=0.00178435
BFGS iter 52: f=0.00177826
BFGS iter 53: f=0.0017718
BFGS iter 54: f=0.00176847
BFGS iter 55: f=0.00176301
BFGS iter 56: f=0.00175995
BFGS iter 57: f=0.00175713
BFGS iter 58: f=0.00175508
BFGS iter 59: f=0.00175301
BFGS iter 60: f=0.00175095
BFGS iter 61: f=0.00174937
BFGS iter 62: f=0.00174771
BFGS iter 63: f=0.0017456
BFGS iter 64: f=0.00174366
BFGS iter 65: f=0.00174207
BFGS iter 66: f=0.00174107
BFGS iter 67: f=0.00173987
BFGS iter 68: f=0.00173875
BFGS iter 69: f=0.00173799
BFGS iter 70: f=0.00173696
BFGS iter 71: f=0.00173634
BFGS iter 72: f=0.00173548
BFGS iter 73: f=0.00173473
BFGS iter 74: f=0.00173384
BFGS iter 75: f=0.00173335
BFGS iter 76: f=0.00173285
BFGS iter 77: f=0.00173242
BFGS iter 78: f=0.00173185
BFGS iter 79: f=0.00173124
BFGS iter 80: f=0.00173088
BFGS iter 81: f=0.00173037
BFGS iter 82: f=0.00172987
BFGS iter 83: f=0.00172957
BFGS iter 84: f=0.00172924
BFGS iter 85: f=0.00172895
BFGS iter 86: f=0.0017286
BFGS iter 87: f=0.00172807
BFGS iter 88: f=0.0017277
BFGS iter 89: f=0.00172733
BFGS iter 90: f=0.00172689
BFGS iter 91: f=0.0017265
BFGS iter 92: f=0.0017261
BFGS iter 93: f=0.00172577
BFGS iter 94: f=0.00172512
BFGS iter 95: f=0.00172416
BFGS iter 96: f=0.0017234
BFGS iter 97: f=0.00172302
BFGS iter 98: f=0.00172251
BFGS iter 99: f=0.00172216
*
BFGS iter 100: f=0.00175195
BFGS iter 101: f=0.00174712
BFGS iter 102: f=0.00173915
BFGS iter 103: f=0.0017364
BFGS iter 104: f=0.001734
BFGS iter 105: f=0.00173097
BFGS iter 106: f=0.00172953
BFGS iter 107: f=0.00172826
BFGS iter 108: f=0.00172729
BFGS iter 109: f=0.00172646
BFGS iter 110: f=0.00172585
BFGS iter 111: f=0.0017252
BFGS iter 112: f=0.00172459
BFGS iter 113: f=0.00172419
BFGS iter 114: f=0.00172352
BFGS iter 115: f=0.0017229
BFGS iter 116: f=0.00172235
BFGS iter 117: f=0.00172181
BFGS iter 118: f=0.00172098
BFGS iter 119: f=0.00172049
BFGS iter 120: f=0.00171994
BFGS iter 121: f=0.00171942
BFGS iter 122: f=0.0017188
BFGS iter 123: f=0.00171805
BFGS iter 124: f=0.00171743
BFGS iter 125: f=0.00171656
BFGS iter 126: f=0.001716
BFGS iter 127: f=0.00171549
BFGS iter 128: f=0.00171512
BFGS iter 129: f=0.00171463
BFGS iter 130: f=0.00171404
BFGS iter 131: f=0.00171376
BFGS iter 132: f=0.00171336
BFGS iter 133: f=0.00171297
BFGS iter 134: f=0.00171246
BFGS iter 135: f=0.00171193
BFGS iter 136: f=0.00171155
BFGS iter 137: f=0.00171107
BFGS iter 138: f=0.0017106
BFGS iter 139: f=0.00171021
BFGS iter 140: f=0.0017097
BFGS iter 141: f=0.00170911
BFGS iter 142: f=0.00170865
BFGS iter 143: f=0.00170817
BFGS iter 144: f=0.00170789
BFGS iter 145: f=0.00170762
BFGS iter 146: f=0.00170745
BFGS iter 147: f=0.00170728
BFGS iter 148: f=0.0017071
BFGS iter 149: f=0.00170676
*
BFGS iter 150: f=0.00173487
BFGS iter 151: f=0.00172489
BFGS iter 152: f=0.00172159
BFGS iter 153: f=0.00171982
BFGS iter 154: f=0.00171835
BFGS iter 155: f=0.00171682
BFGS iter 156: f=0.0017158
BFGS iter 157: f=0.00171444
BFGS iter 158: f=0.00171382
BFGS iter 159: f=0.00171332
BFGS iter 160: f=0.00171265
BFGS iter 161: f=0.00171216
BFGS iter 162: f=0.00171182
BFGS iter 163: f=0.00171148
BFGS iter 164: f=0.00171127
BFGS iter 165: f=0.00171089
BFGS iter 166: f=0.00171049
BFGS iter 167: f=0.00171003
BFGS iter 168: f=0.00170944
BFGS iter 169: f=0.001709
BFGS iter 170: f=0.0017087
BFGS iter 171: f=0.00170839
BFGS iter 172: f=0.00170797
BFGS iter 173: f=0.00170769
BFGS iter 174: f=0.00170735
BFGS iter 175: f=0.00170715
BFGS iter 176: f=0.00170682
BFGS iter 177: f=0.00170657
BFGS iter 178: f=0.00170637
BFGS iter 179: f=0.00170613
BFGS iter 180: f=0.00170582
BFGS iter 181: f=0.00170544
BFGS iter 182: f=0.00170501
BFGS iter 183: f=0.00170439
BFGS iter 184: f=0.00170402
BFGS iter 185: f=0.00170351
BFGS iter 186: f=0.00170331
BFGS iter 187: f=0.00170305
BFGS iter 188: f=0.00170285
BFGS iter 189: f=0.00170271
BFGS iter 190: f=0.0017025
BFGS iter 191: f=0.00170228
BFGS iter 192: f=0.00170202
BFGS iter 193: f=0.00170168
BFGS iter 194: f=0.00170149
BFGS iter 195: f=0.00170117
BFGS iter 196: f=0.00170083
BFGS iter 197: f=0.00170045
BFGS iter 198: f=0.00170013
BFGS iter 199: f=0.00170001
*
BFGS iter 200: f=0.00173626
BFGS iter 201: f=0.00173249
BFGS iter 202: f=0.00172831
BFGS iter 203: f=0.00172672
BFGS iter 204: f=0.00172459
BFGS iter 205: f=0.00172304
BFGS iter 206: f=0.00172126
BFGS iter 207: f=0.00172024
BFGS iter 208: f=0.00171925
BFGS iter 209: f=0.00171849
BFGS iter 210: f=0.00171764
BFGS iter 211: f=0.00171669
BFGS iter 212: f=0.00171613
BFGS iter 213: f=0.00171547
BFGS iter 214: f=0.00171499
BFGS iter 215: f=0.00171462
BFGS iter 216: f=0.00171441
BFGS iter 217: f=0.00171401
BFGS iter 218: f=0.00171375
BFGS iter 219: f=0.00171344
BFGS iter 220: f=0.00171315
BFGS iter 221: f=0.00171293
BFGS iter 222: f=0.00171248
BFGS iter 223: f=0.00171211
BFGS iter 224: f=0.0017119
BFGS iter 225: f=0.00171168
BFGS iter 226: f=0.00171143
BFGS iter 227: f=0.00171112
BFGS iter 228: f=0.00171086
BFGS iter 229: f=0.00171047
BFGS iter 230: f=0.00171019
BFGS iter 231: f=0.00170995
BFGS iter 232: f=0.00170978
BFGS iter 233: f=0.00170959
BFGS iter 234: f=0.00170943
BFGS iter 235: f=0.00170928
BFGS iter 236: f=0.00170917
BFGS iter 237: f=0.00170897
BFGS iter 238: f=0.00170855
BFGS iter 239: f=0.00170824
BFGS iter 240: f=0.00170785
BFGS iter 241: f=0.00170762
BFGS iter 242: f=0.00170744
BFGS iter 243: f=0.00170717
BFGS iter 244: f=0.00170695
BFGS iter 245: f=0.00170677
BFGS iter 246: f=0.00170657
BFGS iter 247: f=0.00170634
BFGS iter 248: f=0.00170607
BFGS iter 249: f=0.00170583
*
BFGS iter 250: f=0.00172902
BFGS iter 251: f=0.00172587
